name,website,website_verified,phone,email,services,size_category,estimated_employees,revenue_estimate,revenue_low,revenue_high,confidence_score,company_number,address,date_created,source
ANGLIAN TRUCK TYRE MANAGEMENT CAMBS LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,16141864,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",2024-12-18,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT NORWICH LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,16141882,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",2024-12-18,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT SOUTH LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,10,13046940,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",2020-11-27,Companies House
A2 TRUCK TYRE LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,10,11261015,"Thames House, Roman Square, Sittingbourne, Kent, United Kingdom, ME10 4BJ",2018-03-19,Companies House
BARON TRUCK TYRES LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,20,06833810,"Unit 14, Kettlestring Park Kettlestring Lane, Clifton Moor, York, United Kingdom, YO30 4XF",2009-03-02,Companies House
BIRMINGHAM TRUCK TYRE LTD,,False,,,,Small,1-5,£100K - £500K,100000,500000,20,08481309,"Kent Space, Suite 2026 6-8 Revenge Road, Chatham, England, ME5 8UD",2013-04-09,Companies House
CAR VAN TRUCK TYRES LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,20,08035616,"29 Whitegate Drive Whitegate Drive, Blackpool, England, FY3 9AA",2012-04-18,Companies House
DRS MOBILE TRUCK TYRES SERVICE LTD,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,16139729,"62 Walbrook Road, Derby, England, DE23 8RY",2024-12-17,Companies House
HARRY'S TRUCK TYRES LTD,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,16009864,"200 Knolton Way, Slough, Berkshire, United Kingdom, SL2 5RS",2024-10-10,Companies House
SYLLA TRUCK TYRES LTD,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,13847848,"Flat 69 Kelvedon House, Guildford Road, London, England, SW8 2DW",2022-01-13,Companies House
TA9 TRUCK TYRES LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,16043526,"Goodwood House, Blackbrook Park Avenue, Taunton, Somerset, United Kingdom, TA1 2PX",2024-10-28,Companies House
247 TRUCK TYRES LTD,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,16948484,"599 London Road, Reading, United Kingdom, RG6 1AT",2026-01-07,Companies House
COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£100K - £500K,100000,500000,10,10615294,"Vantage Quay, 5 Brewer Street, Manchester, England, M1 2ER",2017-02-13,Companies House
COMMERCIAL TYRE SERVICES (BRISTOL) LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,10,11334504,"Unit 5 Willment Way, Bristol, England, BS11 8DJ",2018-04-28,Companies House
COMMERCIAL TYRES OFF HIGHWAY LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,20,08555956,"Tructyre House Princesway North, Team Valley, Gateshead, England, NE11 0NF",2013-06-04,Companies House
COMMERCIAL TYRE SUPPLIES LTD,,False,,,,Small,1-5,£100K - £500K,100000,500000,20,07754686,"6a Cissplatt Lane,, Keelby,, DN41 8HU",2011-08-26,Companies House
AM COMMERCIAL TYRE’S LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,SC846604,"5 Cables Wynd House, Edinburgh, Scotland, EH6 6DF",2025-04-28,Companies House
ASHFORD COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,20,07322542,"57 Kingsmead Avenue, Sunbury On Thames, Middlesex, TW16 5HL",2010-07-22,Companies House
FAST FIT COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,15947304,"6 St. Georges Square, Portsmouth, England, PO1 3EY",2024-09-10,Companies House
J.S COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,16100479,"23 Turnberry Court Bentley, Doncaster, South Yorkshire, England, DN5 0UL",2024-11-25,Companies House
WESSEX COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,20,06686704,"139 Engineer Road, West Wilts Trading Estate, Westbury, Wiltshire, England, BA13 4JW",2008-09-02,Companies House
C & G MOBILE TRUCK AND TRAILER REPAIRS LTD,,False,,,,Small,1-5,£100K - £500K,100000,500000,10,11626516,"35 Kenilworth Drive, Padgate, Warrington, England, WA1 3JT",2018-10-16,Companies House
MOBILE TRUCK & COACH REPAIRS LTD,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,15843978,"1st Floor, The Smithyside, 7 Bell Villas, Ponteland, Newcastle Upon Tyne, United Kingdom, NE20 9BD",2024-07-17,Companies House
MOBILE TRUCK & TRAILER LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,20,05743475,"C/O Stem Accountants Limited, Office 1, The Hive St. James Square, Grimsby, North East Lincolnshire, United Kingdom, DN31 1EP",2006-03-15,Companies House
FLEET TYRES DIRECT LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,20,09289284,"Unit 55 Brunel Road, Bedford, MK41 9TJ",2014-10-31,Companies House
